,faultNumber,xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11,Algo1_loss_mae,Algo1_threshold,Algo1_pointType,Algo1_adaptiveMetric,Algo1_aggregatedMetric,Algo2_loss_mae,Algo2_threshold,Algo2_pointType,Algo2_adaptiveMetric,Algo2_aggregatedMetric
0,0.0,0.25038,3674.0,4529.0,9.232000000000001,26.889,42.402,2704.3,74.863,120.41,0.33818000000000004,80.044,51.435,2632.9,25.029,50.528,3101.1,22.81900000000001,65.732,229.61,341.22,94.64,77.047,32.188,8.8933,26.38300000000001,6.8820000000000014,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,62.881,53.744,24.656999999999996,62.544,22.136999999999997,39.935,42.323,47.757,47.51,41.258,18.447,5,10,TN,78,74,6,10,TN,22,36
1,0.0,0.25109000000000004,3659.4,4556.6,9.4264,26.721,42.576,2705.0,75.0,120.41,0.3362,80.078,50.153999999999996,2633.8,24.419,48.772,3102.0,23.333000000000002,65.71600000000001,230.54,341.3,94.595,77.434,32.188,8.8933,26.38300000000001,6.8820000000000014,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828,63.132,53.413999999999994,24.588,59.25899999999999,22.084,40.176,38.554,43.692,47.427,41.358999999999995,17.194000000000006,1,10,TN,78,74,14,10,FP,22,36
2,0.0,0.25038,3660.3,4477.8,9.4426,26.875,42.07,2706.2,74.771,120.42,0.33563000000000004,80.22,50.302,2635.5,25.244,50.07100000000001,3103.5,21.924,65.732,230.08,341.38,94.605,77.46600000000002,31.767,8.7694,26.095,6.8259,18.961,1.6292,32.985,13.742,23.897,1.3001,18.765,2.2602,4.8543,2.39,0.017866,0.8357,0.098577,53.724,43.828,63.117,54.357,24.666,61.275,22.38,40.244,38.99,46.699,47.468,41.199,20.53,7,10,TN,78,74,4,10,TN,22,36
3,0.0,0.24977,3661.3,4512.1,9.4776,26.75800000000001,42.063,2707.2,75.22399999999998,120.39,0.33553,80.305,49.99,2635.6,23.268,50.435,3102.8,22.948,65.781,227.91,341.71,94.473,77.443,31.767,8.7694,26.095,6.8259,18.961,1.6292,32.985,13.742,23.897,1.3001,18.765,2.2602,4.8543,2.39,0.017866,0.8357,0.098577,53.724,43.828,63.1,53.94600000000001,24.725,59.856,22.276999999999997,40.257,38.071999999999996,47.541000000000004,47.658,41.643,18.089000000000002,4,10,TN,78,74,11,10,FP,22,36
4,0.0,0.29405,3679.0,4497.0,9.3381,26.889,42.65,2705.1,75.388,120.39,0.32632,80.064,51.31,2632.4,26.099,50.48,3103.5,22.808000000000003,65.788,231.37,341.11,94.678,76.947,32.321999999999996,8.5821,26.769000000000002,6.8688,18.782,1.6396,33.071,13.834000000000001,24.228,1.0938,18.666,2.2193,4.8304,2.2416,0.017866,0.8357,0.098577,53.724,43.828,63.313,53.658,28.796999999999997,60.717,21.947,39.144,41.955,47.645,47.346000000000004,41.507,18.461,4,10,TN,78,74,7,10,TN,22,36
5,0.0,0.29303,3691.7,4502.2,9.378,27.111,41.998999999999995,2703.8,75.05,120.39,0.33018000000000003,79.859,50.608000000000004,2632.2,27.855999999999998,50.448,3101.0,22.534000000000002,65.711,230.47,341.52,94.515,77.015,32.321999999999996,8.5821,26.769000000000002,6.8688,18.782,1.6396,33.071,13.834000000000001,24.228,1.0938,18.666,2.2193,4.8304,2.2416,0.041319999999999996,0.83341,0.11338,53.244,43.201,63.095,53.595,28.898000000000003,59.107,22.291,38.673,39.89,47.57100000000001,47.43,41.308,19.134,2,10,TN,78,74,9,10,TN,22,36
6,0.0,0.24301,3658.8,4541.6,9.3374,26.623,42.448,2704.0,75.498,120.39,0.33565,80.017,49.224,2632.8,25.113000000000003,49.559,3101.2,23.156,65.67699999999999,229.61,341.66,94.639,77.434,31.801,8.8537,26.288,6.8457,18.98,1.6407,32.708,13.770999999999999,23.35,1.2941,18.703,2.2659,4.8236,2.2975,0.041319999999999996,0.83341,0.11338,53.244,43.201,63.317,53.548,23.558000000000003,62.125,22.244,40.429,35.816,45.513999999999996,47.508,41.338,17.625,4,10,TN,78,74,7,10,TN,22,36
7,0.0,0.2409,3653.3,4500.0,9.3495,27.075,42.412,2704.9,74.883,120.42,0.3367,80.173,50.58,2633.3,23.858,48.63,3101.6,22.930999999999997,65.691,231.48,341.44,94.505,77.408,31.801,8.8537,26.288,6.8457,18.98,1.6407,32.708,13.770999999999999,23.35,1.2941,18.703,2.2659,4.8236,2.2975,0.041319999999999996,0.83341,0.11338,53.244,43.201,63.412,54.045,23.765,62.006,22.701999999999998,40.3,39.806999999999995,43.364,47.343999999999994,40.899,18.156,8,10,TN,78,74,3,10,TN,22,36
8,0.0,0.29416,3654.3,4454.7,9.3213,27.363000000000003,42.238,2703.2,74.657,120.37,0.33351,80.068,49.989,2631.4,24.101,49.501999999999995,3102.4,22.94400000000001,65.737,229.9,341.53,94.646,77.152,32.409,8.9602,26.52,6.9121,18.62,1.6721,33.582,13.985999999999999,24.115,1.1731,18.033,2.2949,4.8444,2.2902,0.041319999999999996,0.83341,0.11338,53.244,43.201,63.621,54.083,28.697,61.62300000000001,22.064,38.976,38.066,45.381,47.483000000000004,40.876,18.146,4,10,TN,78,74,2,10,TN,22,36
9,0.0,0.29372,3675.9,4487.4,9.4107,26.809,42.144,2705.3,74.227,120.44,0.32828,80.242,50.07100000000001,2635.3,25.941,50.32899999999999,3102.5,22.585,65.74,229.55,342.1,94.441,77.596,32.409,8.9602,26.52,6.9121,18.62,1.6721,33.582,13.985999999999999,24.115,1.1731,18.033,2.2949,4.8444,2.2902,0.041319999999999996,0.83341,0.11338,53.244,43.201,63.248999999999995,53.692,28.741,61.49,22.409000000000002,39.615,38.309,47.29600000000001,47.51300000000001,42.355,18.957,8,10,TN,78,74,1,10,TN,22,36
